id,name,acronym,parent_structure_id,depth,structure_id_path,safe_name
997,root,root,,0,/997/,root
8,Basic cell groups and regions,grey,997.0,1,/997/8/,Basic cell groups and regions
567,Cerebrum,CH,8.0,2,/997/8/567/,Cerebrum
688,Cerebral cortex,CTX,567.0,3,/997/8/567/688/,Cerebral cortex
695,Cortical plate,CTXpl,688.0,4,/997/8/567/688/695/,Cortical plate
315,Isocortex,Isocortex,695.0,5,/997/8/567/688/695/315/,Isocortex
184,Frontal pole cerebral cortex,FRP,315.0,6,/997/8/567/688/695/315/184/,Frontal pole cerebral cortex
68,Frontal pole layer 1,FRP1,184.0,7,/997/8/567/688/695/315/184/68/,Frontal pole layer 1
667,Frontal pole layer 2/3,FRP2/3,184.0,7,/997/8/567/688/695/315/184/667/,Frontal pole layer 2/3
526157192,Frontal pole layer 5,FRP5,184.0,7,/997/8/567/688/695/315/184/526157192/,Frontal pole layer 5
526157196,Frontal pole layer 6a,FRP6a,184.0,7,/997/8/567/688/695/315/184/526157196/,Frontal pole layer 6a
526322264,Frontal pole layer 6b,FRP6b,184.0,7,/997/8/567/688/695/315/184/526322264/,Frontal pole layer 6b
500,Somatomotor areas,MO,315.0,6,/997/8/567/688/695/315/500/,Somatomotor areas
107,Somatomotor areas Layer 1,MO1,500.0,7,/997/8/567/688/695/315/500/107/,Somatomotor areas Layer 1
219,Somatomotor areas Layer 2/3,MO2/3,500.0,7,/997/8/567/688/695/315/500/219/,Somatomotor areas Layer 2/3
299,Somatomotor areas Layer 5,MO5,500.0,7,/997/8/567/688/695/315/500/299/,Somatomotor areas Layer 5
644,Somatomotor areas Layer 6a,MO6a,500.0,7,/997/8/567/688/695/315/500/644/,Somatomotor areas Layer 6a
947,Somatomotor areas Layer 6b,MO6b,500.0,7,/997/8/567/688/695/315/500/947/,Somatomotor areas Layer 6b
985,Primary motor area,MOp,500.0,7,/997/8/567/688/695/315/500/985/,Primary motor area
320,Primary motor area Layer 1,MOp1,985.0,8,/997/8/567/688/695/315/500/985/320/,Primary motor area Layer 1
943,Primary motor area Layer 2/3,MOp2/3,985.0,8,/997/8/567/688/695/315/500/985/943/,Primary motor area Layer 2/3
648,Primary motor area Layer 5,MOp5,985.0,8,/997/8/567/688/695/315/500/985/648/,Primary motor area Layer 5
844,Primary motor area Layer 6a,MOp6a,985.0,8,/997/8/567/688/695/315/500/985/844/,Primary motor area Layer 6a
882,Primary motor area Layer 6b,MOp6b,985.0,8,/997/8/567/688/695/315/500/985/882/,Primary motor area Layer 6b
993,Secondary motor area,MOs,500.0,7,/997/8/567/688/695/315/500/993/,Secondary motor area
656,Secondary motor area layer 1,MOs1,993.0,8,/997/8/567/688/695/315/500/993/656/,Secondary motor area layer 1
962,Secondary motor area layer 2/3,MOs2/3,993.0,8,/997/8/567/688/695/315/500/993/962/,Secondary motor area layer 2/3
767,Secondary motor area layer 5,MOs5,993.0,8,/997/8/567/688/695/315/500/993/767/,Secondary motor area layer 5
1021,Secondary motor area layer 6a,MOs6a,993.0,8,/997/8/567/688/695/315/500/993/1021/,Secondary motor area layer 6a
1085,Secondary motor area layer 6b,MOs6b,993.0,8,/997/8/567/688/695/315/500/993/1085/,Secondary motor area layer 6b
453,Somatosensory areas,SS,315.0,6,/997/8/567/688/695/315/453/,Somatosensory areas
12993,Somatosensory areas layer 1,SS1,453.0,7,/997/8/567/688/695/315/453/12993/,Somatosensory areas layer 1
12994,Somatosensory areas layer 2/3,SS2/3,453.0,7,/997/8/567/688/695/315/453/12994/,Somatosensory areas layer 2/3
12995,Somatosensory areas layer 4,SS4,453.0,7,/997/8/567/688/695/315/453/12995/,Somatosensory areas layer 4
12996,Somatosensory areas layer 5,SS5,453.0,7,/997/8/567/688/695/315/453/12996/,Somatosensory areas layer 5
12997,Somatosensory areas layer 6a,SS6a,453.0,7,/997/8/567/688/695/315/453/12997/,Somatosensory areas layer 6a
12998,Somatosensory areas layer 6b,SS6b,453.0,7,/997/8/567/688/695/315/453/12998/,Somatosensory areas layer 6b
322,Primary somatosensory area,SSp,453.0,7,/997/8/567/688/695/315/453/322/,Primary somatosensory area
793,Primary somatosensory area layer 1,SSp1,322.0,8,/997/8/567/688/695/315/453/322/793/,Primary somatosensory area layer 1
346,Primary somatosensory area layer 2/3,SSp2/3,322.0,8,/997/8/567/688/695/315/453/322/346/,Primary somatosensory area layer 2/3
865,Primary somatosensory area layer 4,SSp4,322.0,8,/997/8/567/688/695/315/453/322/865/,Primary somatosensory area layer 4
921,Primary somatosensory area layer 5,SSp5,322.0,8,/997/8/567/688/695/315/453/322/921/,Primary somatosensory area layer 5
686,Primary somatosensory area layer 6a,SSp6a,322.0,8,/997/8/567/688/695/315/453/322/686/,Primary somatosensory area layer 6a
719,Primary somatosensory area layer 6b,SSp6b,322.0,8,/997/8/567/688/695/315/453/322/719/,Primary somatosensory area layer 6b
353,Primary somatosensory area nose,SSp-n,322.0,8,/997/8/567/688/695/315/453/322/353/,Primary somatosensory area nose
558,Primary somatosensory area nose layer 1,SSp-n1,353.0,9,/997/8/567/688/695/315/453/322/353/558/,Primary somatosensory area nose layer 1
838,Primary somatosensory area nose layer 2/3,SSp-n2/3,353.0,9,/997/8/567/688/695/315/453/322/353/838/,Primary somatosensory area nose layer 2/3
654,Primary somatosensory area nose layer 4,SSp-n4,353.0,9,/997/8/567/688/695/315/453/322/353/654/,Primary somatosensory area nose layer 4
702,Primary somatosensory area nose layer 5,SSp-n5,353.0,9,/997/8/567/688/695/315/453/322/353/702/,Primary somatosensory area nose layer 5
889,Primary somatosensory area nose layer 6a,SSp-n6a,353.0,9,/997/8/567/688/695/315/453/322/353/889/,Primary somatosensory area nose layer 6a
929,Primary somatosensory area nose layer 6b,SSp-n6b,353.0,9,/997/8/567/688/695/315/453/322/353/929/,Primary somatosensory area nose layer 6b
329,Primary somatosensory area barrel field,SSp-bfd,322.0,8,/997/8/567/688/695/315/453/322/329/,Primary somatosensory area barrel field
981,Primary somatosensory area barrel field layer 1,SSp-bfd1,329.0,9,/997/8/567/688/695/315/453/322/329/981/,Primary somatosensory area barrel field layer 1
201,Primary somatosensory area barrel field layer 2/3,SSp-bfd2/3,329.0,9,/997/8/567/688/695/315/453/322/329/201/,Primary somatosensory area barrel field layer 2/3
1047,Primary somatosensory area barrel field layer 4,SSp-bfd4,329.0,9,/997/8/567/688/695/315/453/322/329/1047/,Primary somatosensory area barrel field layer 4
1070,Primary somatosensory area barrel field layer 5,SSp-bfd5,329.0,9,/997/8/567/688/695/315/453/322/329/1070/,Primary somatosensory area barrel field layer 5
1038,Primary somatosensory area barrel field layer 6a,SSp-bfd6a,329.0,9,/997/8/567/688/695/315/453/322/329/1038/,Primary somatosensory area barrel field layer 6a
1062,Primary somatosensory area barrel field layer 6b,SSp-bfd6b,329.0,9,/997/8/567/688/695/315/453/322/329/1062/,Primary somatosensory area barrel field layer 6b
480149202,Rostrolateral lateral visual area,VISrll,329.0,9,/997/8/567/688/695/315/453/322/329/480149202/,Rostrolateral lateral visual area
480149206,Rostrolateral lateral visual area layer 1,VISrll1,480149202.0,10,/997/8/567/688/695/315/453/322/329/480149202/480149206/,Rostrolateral lateral visual area layer 1
480149210,Rostrolateral lateral visual area layer 2/3,VISrll2/3,480149202.0,10,/997/8/567/688/695/315/453/322/329/480149202/480149210/,Rostrolateral lateral visual area layer 2/3
480149214,Rostrolateral lateral visual area layer 4,VISrll4,480149202.0,10,/997/8/567/688/695/315/453/322/329/480149202/480149214/,Rostrolateral lateral visual area layer 4
480149218,Rostrolateral lateral visual arealayer 5,VISrll5,480149202.0,10,/997/8/567/688/695/315/453/322/329/480149202/480149218/,Rostrolateral lateral visual arealayer 5
480149222,Rostrolateral lateral visual area layer 6a,VISrll6a,480149202.0,10,/997/8/567/688/695/315/453/322/329/480149202/480149222/,Rostrolateral lateral visual area layer 6a
480149226,Rostrolateral lateral visual area layer 6b,VISrll6b,480149202.0,10,/997/8/567/688/695/315/453/322/329/480149202/480149226/,Rostrolateral lateral visual area layer 6b
337,Primary somatosensory area lower limb,SSp-ll,322.0,8,/997/8/567/688/695/315/453/322/337/,Primary somatosensory area lower limb
1030,Primary somatosensory area lower limb layer 1,SSp-ll1,337.0,9,/997/8/567/688/695/315/453/322/337/1030/,Primary somatosensory area lower limb layer 1
113,Primary somatosensory area lower limb layer 2/3,SSp-ll2/3,337.0,9,/997/8/567/688/695/315/453/322/337/113/,Primary somatosensory area lower limb layer 2/3
1094,Primary somatosensory area lower limb layer 4,SSp-ll4,337.0,9,/997/8/567/688/695/315/453/322/337/1094/,Primary somatosensory area lower limb layer 4
1128,Primary somatosensory area lower limb layer 5,SSp-ll5,337.0,9,/997/8/567/688/695/315/453/322/337/1128/,Primary somatosensory area lower limb layer 5
478,Primary somatosensory area lower limb layer 6a,SSp-ll6a,337.0,9,/997/8/567/688/695/315/453/322/337/478/,Primary somatosensory area lower limb layer 6a
510,Primary somatosensory area lower limb layer 6b,SSp-ll6b,337.0,9,/997/8/567/688/695/315/453/322/337/510/,Primary somatosensory area lower limb layer 6b
345,Primary somatosensory area mouth,SSp-m,322.0,8,/997/8/567/688/695/315/453/322/345/,Primary somatosensory area mouth
878,Primary somatosensory area mouth layer 1,SSp-m1,345.0,9,/997/8/567/688/695/315/453/322/345/878/,Primary somatosensory area mouth layer 1
657,Primary somatosensory area mouth layer 2/3,SSp-m2/3,345.0,9,/997/8/567/688/695/315/453/322/345/657/,Primary somatosensory area mouth layer 2/3
950,Primary somatosensory area mouth layer 4,SSp-m4,345.0,9,/997/8/567/688/695/315/453/322/345/950/,Primary somatosensory area mouth layer 4
974,Primary somatosensory area mouth layer 5,SSp-m5,345.0,9,/997/8/567/688/695/315/453/322/345/974/,Primary somatosensory area mouth layer 5
1102,Primary somatosensory area mouth layer 6a,SSp-m6a,345.0,9,/997/8/567/688/695/315/453/322/345/1102/,Primary somatosensory area mouth layer 6a
2,Primary somatosensory area mouth layer 6b,SSp-m6b,345.0,9,/997/8/567/688/695/315/453/322/345/2/,Primary somatosensory area mouth layer 6b
369,Primary somatosensory area upper limb,SSp-ul,322.0,8,/997/8/567/688/695/315/453/322/369/,Primary somatosensory area upper limb
450,Primary somatosensory area upper limb layer 1,SSp-ul1,369.0,9,/997/8/567/688/695/315/453/322/369/450/,Primary somatosensory area upper limb layer 1
854,Primary somatosensory area upper limb layer 2/3,SSp-ul2/3,369.0,9,/997/8/567/688/695/315/453/322/369/854/,Primary somatosensory area upper limb layer 2/3
577,Primary somatosensory area upper limb layer 4,SSp-ul4,369.0,9,/997/8/567/688/695/315/453/322/369/577/,Primary somatosensory area upper limb layer 4
625,Primary somatosensory area upper limb layer 5,SSp-ul5,369.0,9,/997/8/567/688/695/315/453/322/369/625/,Primary somatosensory area upper limb layer 5
945,Primary somatosensory area upper limb layer 6a,SSp-ul6a,369.0,9,/997/8/567/688/695/315/453/322/369/945/,Primary somatosensory area upper limb layer 6a
1026,Primary somatosensory area upper limb layer 6b,SSp-ul6b,369.0,9,/997/8/567/688/695/315/453/322/369/1026/,Primary somatosensory area upper limb layer 6b
361,Primary somatosensory area trunk,SSp-tr,322.0,8,/997/8/567/688/695/315/453/322/361/,Primary somatosensory area trunk
1006,Primary somatosensory area trunk layer 1,SSp-tr1,361.0,9,/997/8/567/688/695/315/453/322/361/1006/,Primary somatosensory area trunk layer 1
670,Primary somatosensory area trunk layer 2/3,SSp-tr2/3,361.0,9,/997/8/567/688/695/315/453/322/361/670/,Primary somatosensory area trunk layer 2/3
1086,Primary somatosensory area trunk layer 4,SSp-tr4,361.0,9,/997/8/567/688/695/315/453/322/361/1086/,Primary somatosensory area trunk layer 4
1111,Primary somatosensory area trunk layer 5,SSp-tr5,361.0,9,/997/8/567/688/695/315/453/322/361/1111/,Primary somatosensory area trunk layer 5
9,Primary somatosensory area trunk layer 6a,SSp-tr6a,361.0,9,/997/8/567/688/695/315/453/322/361/9/,Primary somatosensory area trunk layer 6a
461,Primary somatosensory area trunk layer 6b,SSp-tr6b,361.0,9,/997/8/567/688/695/315/453/322/361/461/,Primary somatosensory area trunk layer 6b
182305689,Primary somatosensory area unassigned,SSp-un,322.0,8,/997/8/567/688/695/315/453/322/182305689/,Primary somatosensory area unassigned
182305693,Primary somatosensory area unassigned layer 1,SSp-un1,182305689.0,9,/997/8/567/688/695/315/453/322/182305689/182305693/,Primary somatosensory area unassigned layer 1
182305697,Primary somatosensory area unassigned layer 2/3,SSp-un2/3,182305689.0,9,/997/8/567/688/695/315/453/322/182305689/182305697/,Primary somatosensory area unassigned layer 2/3
182305701,Primary somatosensory area unassigned layer 4,SSp-un4,182305689.0,9,/997/8/567/688/695/315/453/322/182305689/182305701/,Primary somatosensory area unassigned layer 4
182305705,Primary somatosensory area unassigned layer 5,SSp-un5,182305689.0,9,/997/8/567/688/695/315/453/322/182305689/182305705/,Primary somatosensory area unassigned layer 5
182305709,Primary somatosensory area unassigned layer 6a,SSp-un6a,182305689.0,9,/997/8/567/688/695/315/453/322/182305689/182305709/,Primary somatosensory area unassigned layer 6a
